Carimbo de data/hora,Qual faixa etária você se encaixa?,"Se você tivesse que escolher um computador hoje, quais caminhos você tomaria para realizar sua escolha? ",Você já se frustrou por comprar algum item devido a falta de informações?,Para qual finalidade você usaria seu computador?,Você utiliza um computador com qual frequência?
17/04/2021 18:50:37,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Para estudo,6 ou mais vezes por semana.
17/04/2021 19:00:35,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Trabalho ,3 a 5 vezes por semana.
17/04/2021 19:19:04,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,Estudos.,6 ou mais vezes por semana.
17/04/2021 19:59:29,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,estudar e trabalhar.,6 ou mais vezes por semana.
17/04/2021 20:00:07,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Games e trabalho,3 a 5 vezes por semana.
17/04/2021 20:22:26,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Trabalho e Entretenimento,6 ou mais vezes por semana.
17/04/2021 20:45:56,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,"Estudos, trabalhos e entretenimento",6 ou mais vezes por semana.
17/04/2021 21:08:46,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho ,6 ou mais vezes por semana.
17/04/2021 21:17:31,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,"Programação, jogos, pesquisas e lazer",6 ou mais vezes por semana.
17/04/2021 21:21:03,21 a 30 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho!,Não utilizo um computador.
17/04/2021 21:40:11,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Não,Estudos,6 ou mais vezes por semana.
17/04/2021 21:41:08,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Não,Estudos/trabalho,6 ou mais vezes por semana.
17/04/2021 21:53:51,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Não,estudo e lazer ,6 ou mais vezes por semana.
17/04/2021 21:55:34,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,estudar,6 ou mais vezes por semana.
17/04/2021 22:13:46,14 a 20 anos,Olhando as especificações técnicas do computador.,Sim,"Programação, jogos .",6 ou mais vezes por semana.
17/04/2021 22:28:25,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,estudos ,6 ou mais vezes por semana.
17/04/2021 23:07:59,14 a 20 anos,"Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Sim,Jogos e estudo,6 ou mais vezes por semana.
18/04/2021 00:16:56,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,"Trabalhos escolares, redes sociais e acessar informações",3 a 5 vezes por semana.
18/04/2021 01:50:38,21 a 30 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Não,Estudos e Trabalho,6 ou mais vezes por semana.
18/04/2021 08:47:52,31 a 40 anos,Recorreria à alguém com conhecimento na área.,Sim,Trabalho,6 ou mais vezes por semana.
18/04/2021 09:43:07,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,EAD e tudo que ela envolve ,6 ou mais vezes por semana.
18/04/2021 09:58:42,14 a 20 anos,Recorreria à alguém com conhecimento na área.,Sim,"Serviço, estudo e lazer.",6 ou mais vezes por semana.
18/04/2021 10:18:23,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,para estudo e lazer,6 ou mais vezes por semana.
18/04/2021 11:25:54,31 a 40 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..)., Olhando as especificações técnicas do computador., Recorreria à alguém com conhecimento na área.",Não,Trabalho e estudos ,6 ou mais vezes por semana.
18/04/2021 11:43:38,21 a 30 anos,Olhando as especificações técnicas do computador.,Sim,Trabalho ,6 ou mais vezes por semana.
18/04/2021 11:49:12,14 a 20 anos,"Pesquisando indicações na internet (Youtube, Websites, Facebook e etc..).",Sim,Jogos e trabalho,3 a 5 vezes por semana.
